Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,7,4510.3194347003855,6056.261919761445
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,8,5020.939806972988,6524.248696580139
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,9,5806.8311352829005,6662.87302726481
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,NNN,10,6099.299344239706,7878.472879297724
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,1,1718.9905762997791,8885.76463369657
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,2,6222.045982062958,19631.88669795269
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,3,7854.2117424681055,20146.750795309017
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,4,9227.69779018101,21241.685726158415
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,5,9913.299502531016,23375.353722326276
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,6,10052.823089927686,26340.238126927867
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,7,11377.435967996684,27975.954516017482
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,8,13118.084053856062,29753.635953920522
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,9,15480.920604699239,29845.156826449485
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,FNF,10,16016.911160628257,31061.754537185254
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,1,1065.240895259441,3218.823244666764
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,2,1573.8504283853288,3269.538669359612
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,3,4424.580335532797,3467.753179844098
